,text,hashtags
0,"Campus turn into camp rioters , security personnel allowing them , trying to stop entry of @DelhiPolice , thanks to Delhi police for Protecting other innocent students of Jamia , why rioters choose Jamia instead of JNU ? To make religious , to start a communal war ,#AMUprotesthttps://twitter.com/TajinderBagga/status/1206258147670642689 …",['AMUprotesthttps']
1,"There are many universities in India but JNU, AMU JMI are against to present government. Actually they don't want to peaceful.",[]
2,Saba Aunty ki beti Canada padhti hai. Coz she couldn't get admission in prestigious JNU or JMI https://twitter.com/vivekagnihotri/status/1206421776718127104 …,[]
3,"Why should someone 'try' to break the law.
It is always a bad choice  made by these 'students' from Jamia and JNU type rioters

Did any student from places like IIT  engage in such stupidity ?",[]
4,"Not expected from you atleast ...did you ever try to know the fact that why police entering into #jamia, #jnu only .. kyun bhai baki universities mein Mujra Hota hai kya... ? #ShutdownJamia #shutdownjnu","['jamia', 'jnu', 'ShutdownJamia', 'shutdownjnu']"
5,"Both Xtians and M have understood that thevpower centre of Delhi must be invaded, all colleges are full of them. Especially humanities in DU and JNU. Why else would so many Xtians invade the media right from DD to BT?",[]
6,Are you one of mufti’s gang from JNU or Jamiya Milia ? https://twitter.com/ADITIJOSHI01/status/1206493513996587008 …,[]
7,"I would like to request @AmitShah @narendramodi to closed Jnu,Amu and jamia university they are not going for learning they all are there cz they want to divide India",[]
8,"nope, its because you have a life / job other than politics and are doing this voluntarily. The JNU / Left liberals are supported by ISI funds and have nothing else to do..",[]
9,"So now we know when they say WhatsApp University which place they refer to. 

#JNU https://twitter.com/IndianExpress/status/1206703416187031552 …",['JNU']
10,Next should be #JNU on the list by #DelhiPolice,"['JNU', 'DelhiPolice']"
11,"Why JNU students never leave JNU, people give them complicated problems to solve .. https://twitter.com/effucktivehumor/status/1206412161188159488 …",[]
12,Bangalore. You forgot to mention it. 70 year old students who have applied in JNU hit the streets in Bangalore near town hall.,[]
13,"JNU. AMU JAMIYA YAH SAB AATANKI PAIDA KAR RAHE HA. 
SHOOT AT SIGHT 
SAY PAKISTAN FOR THE CAB ALSO IF YOU LIKE MUSHLIM COUNTY. 
CAB. NRC IS NECESSARY",[]
14,"Nehruvian JNU, AMU etc also had the same subsidized course. Yet you went for African Anthropology. Who’d you blame for that now? Brahmins!!",[]
15,"In solidarity with the bravehearts of #JamiaMilia,  #AMU, JNU and all those taking a stand against this draconian system.

Shame of you #DelhiPolice
#JamiaProtest #AMUprotest #PoliceBrutalityinJamia #PoliceStopViolencepic.twitter.com/QEBEJwiBeu","['JamiaMilia', 'AMU', 'DelhiPolice', 'JamiaProtest', 'AMUprotest', 'PoliceBrutalityinJamia', 'PoliceStopViolencepic']"
16,well said sonam ji i don't understand why are the tax payers of india funding jnu n anu we should protest and stop the funding of these anti indians immediately @TahirGora @TarekFatahhttps://twitter.com/AsYouNotWish/status/1206167957644005377 …,[]
17,"Education was never the reason , its in mindset . 

Whether it Uneducated Jobless Youth of Kashmir or Educated and still Jobless Youth of Jamia or JNU. #Shamepic.twitter.com/U7hqVMgRwx",['Shamepic']
18,"1-vo JNU ke nhi JMI ke the
2- Vo students hi the ye confirm nhi h
3- vo tv anchor ABP News ki thi
4- dusre anchors jinko boycott kia vo zee news k the
5- wahan or bhi news reporters the
6- un reporters se students ne tameez se baat ki h.
7- bas ek taraf ki news dekhna bnd kr de.",[]
19,True something needs to be done. Hindu himself is not united. Yesterday at my workplace there was a man defending JNU aa his daughter had studied there and he convinced everyone that JNU is being pointed out because it is BJP ruling otherwise it is left oriented https://twitter.com/Pushp_Kul/status/1208804455132479489 …,[]
20,"Leftist student unions and faculty affiliated to communist party are behind the whole drama while its a shame on pro congress and anti Modi paid media to have spread lies.May be the Pondicherry University has been infected with the JNU virus.
https://www.news18.com/news/india/refused-entry-during-presidents-visit-pondicherry-university-student-rejects-gold-medal-at-convocation-2434191.html …",[]
21,That's what you learn at #JNU ? Utter waste of tax payers money to run these hostels.. Can't differentiate between Buses versus People who travel in those burnt buses Kangana talked about.,['JNU']
22,This thread on JNU...  https://twitter.com/hathyogi1/status/1209163603544178688 …,[]
23,JNU scholar or son of SIMI founder??,[]
24,"Six JNU students suspended for protesting against fee hike, JNUSU alleges https://www.republicworld.com/india-news/general-news/six-jnu-students-suspended-for-protesting-against-fee-hike …",[]
25,"JNU evicts two students from hostel for ‘ruckus in varsity’
#JNUProtestshttps://www.wefornews.com/jnu-evicts-two-students-from-hostel-for-ruckus-in-varsity/ …",['JNUProtestshttps']
26,"@AzmiShabana Left Zee Media

Dear Students of Jamia
Zee News failed on whether it is the matter of JNU, Kanhaiya, AMU and Jamia Millia incident. Channel has tried to mis lead the Nation especially on Jamia where students were beaten brutally after CAA act and upcoming NRC.",[]
27,"This thread on JNU by @hathyogi1 is an eye-opener for those who think that JNU is an educational hub producing so called ""Intellectuals"" 
The tax payers hard earned money goes to the betterment of these commie ba$tards 
 https://threadreaderapp.com/thread/1209163603544178688.html …",[]
28,"@malikfeb Left Zee Media
Dear Students of Jamia
Zee News failed on whether it is the matter of JNU, Kanhaiya, AMU and Jamia Millia incident. Channel has tried to mis lead the Nation especially on Jamia where students were beaten brutally after CAA act and upcoming NRC.",[]
29,India Gate becomes Jnu Freedom Square : Jnu community in Solidarity with... https://youtu.be/Zg74ZGx0Dwk  via @YouTube,[]
30,Only few selected capable ones can be a part of IIT’s...If Dharna karna hai toh students like him should join JNU or AMU no...There every few months some anti national or anti Hindu slogan is manufactured...Infact that’s all what the “students” do over there...!,[]
31,"JNU evicts two students from hostel for ‘ruckus in varsity’

http://bit.ly/2PPciMM ",[]
32,"Nobody:
JNU&JMI students:
*All I want for Christmas is AZADI!*",[]
33,"Hey Librandu Banerjee- There is no derth of jobs or opportunities for educated and skilled folks.For Tukde tukde Urban naxals Jhola JNU puncture chaap idiots like urself though tubeless tyres & excellent roads are the prime reasons for unemployment.

https://www.livemint.com/news/india/iits-placement-season-over-4000-job-offers-in-two-days-11575360340498.html …",[]
34,Jnu scholar that has a nice ring to it false oversimplification but who care you need to sell copy...,[]
35,"JNU scholar 
#MondayMotivaton 
If he can be a scholar, I can be Socrates!https://twitter.com/ShekharGupta/status/1209048627999457280 …",['MondayMotivaton']
36,No no all talented muslim students are only in JNU AND JAMIA https://twitter.com/Kr_Rajan__Gupta/status/1208625786850177024 …,[]
37,"This post shows you r really hitting them where it hurts.

Their truth is coming out.

#CAB_FactsVsDistortion
#Leftists
#Liberals
#JamiaMilliaUniversity
#JNU
#CAA_NRC_Protest
#PangaTrailer
#FreedomOfSpeech
#FreedomOfExpression
#INC
#PressFreedom
#CABProtests
#CAAJanJagran
#Woman","['CAB_FactsVsDistortion', 'Leftists', 'Liberals', 'JamiaMilliaUniversity', 'JNU', 'CAA_NRC_Protest', 'PangaTrailer', 'FreedomOfSpeech', 'FreedomOfExpression', 'INC', 'PressFreedom', 'CABProtests', 'CAAJanJagran', 'Woman']"
38,"JNU students hold protests over police action in Jamia, AMU https://munsifdaily.in/50665 pic.twitter.com/mXJmTq7k7v",[]
39,"But, according to me you see plenty of them. There was one girl from JNU who started threatening an elderly man. Just for asking the ""question why so low fee?"" But she was able to tell him ""Get lost"" etc. I see that JNU type institutes provide such training. Best way is 2 neglect",[]
40,Well said as these institutions misuse our tax. @PMOIndia @AmitShah  sir plz close JNU AMU& Jamia university as they trained anti national elements n terrorists and misuse our hard earned tax money. My money for development of country not for terrorists training centre Jai hind,[]
41,"Hindus, Buddhists, Parsis and Sikhs who are religiously persecuted in Pakistan, Afghanistan and Bangladesh are being granted Indian citizenship under CAA and CAB. In what way students of JNU, Jamia and Alighar Muslim University are affected by this ?",[]
42,"1997 my birthyear
unlike those eras,now students donnot give a damn abt revolution, that's why despite the best effort of liberals,the revolution has not spread beyond JNU,AMU,JU,TISS
If peaceful wasn't part of those agitation that's not my problem,even national guards in",[]
43,Why keep blaming the police only.What about MHA ?.A la JNU style attack.Then name calling including sedition http://charges.You  personally protested then.Everyone knows who is the kingpin in this planned attack.Morning walk jana hai na.https://twitter.com/sardesairajdeep/status/1207313096634753025 …,[]
44,"Your one tweet has revealed quality of education standards of India. Specifically, JNU. CAA isnt against Indian Muslims but exclude Muslim from neighborhood countries since, none have been perscuated religiously in thease countries. You want to include one who doesn't exist. https://twitter.com/mehartweets/status/1206699375801634827 …",[]
45,"More importantly, these students parents have paid a bomb to these universities, unlike these 'Fookatchands' in JNU and like universities.",[]
46,"#CABProtest
#CABAgainstConstitution
#CABBill
@INCIndia 
dont compare, BHU has RSS/BJP facist members, JAMIa, JNU, IIT, AMU and other all Students are future stars of india, to divert the peoples mind, bjp police arrested 10 people to create fear, students do until final result","['CABProtest', 'CABAgainstConstitution', 'CABBill']"
47,"Take @ndtv help for more shouting. Nothing going to happen as you expect. Take some more help from JNU, Kannaiah and Madam B, RS, SG and others. Buy the way have you any medals to return?",[]
48,"As a student of jnu, I am proud to see you speaking in favour of students. The violence is a subject to debate but people should ask why even protest. Students are protesting to save the nation. I see many nonsense people commenting on violence. They should know types of violence",[]
49,Compare this with the punishment (lack of) of real gundagardi in JNU.,[]
50,No Sir ... because there are teachers in such colleges not Lefty radicals out to make a political quick buck like in JNU AMU JMI,[]
51,"Lest we forget.
#CAA_NRC #CAA2019 #WeThePeople #IndiaForIndians #JamiaMiliaIslamia #BHU #AMU #JNU #Protest #Secularism #EqualityForAll #ConstitutionofIndia #Ambedkar #BJP #BurningNation #CAAProtest #Democracy #CitizenshipAmendmentBill #CitizenshipAmmendmentBill2019 #CABBill #INDpic.twitter.com/fQai104qRo","['CAA_NRC', 'CAA2019', 'WeThePeople', 'IndiaForIndians', 'JamiaMiliaIslamia', 'BHU', 'AMU', 'JNU', 'Protest', 'Secularism', 'EqualityForAll', 'ConstitutionofIndia', 'Ambedkar', 'BJP', 'BurningNation', 'CAAProtest', 'Democracy', 'CitizenshipAmendmentBill', 'CitizenshipAmmendmentBill2019', 'CABBill', 'INDpic']"
52,"I suspect the hands of the below party in fanning and inflaming passions in AMU and JNU against India. 

students should mind their studies and not indulge in stone pelting and destruction. pic.twitter.com/2Ejs27QsXL",[]
53,"Many are opposing Jamia,AMU,JNU just because they or their ward could not get admission into it,keep trying, May your next generation could make it and realise the value of quality education. You are too ignorant to comprehend.#BJPLiesOnCAA
#IndiansAgainstCAA
#JamiaAmufightback","['BJPLiesOnCAA', 'IndiansAgainstCAA', 'JamiaAmufightback']"
54,"Just like the IITs. It's the Humanities who are protesting, not Engineers. But the headlines will only mention IIT. 

Zero Loss was a doordarshi when he introduced non-engineering streams into IIT, complete with JNU educated faculty.",[]
55,"The S.S.P should be prosecuted who assured the students of Carrying the protest and even promised to be with them for 40 days, if the protest gets prolonged 
He comforted the students by saying that he himself was from JNU and took parts in many protests.",[]
56,"Mothefcuker don't have brain just shut the fcuk up don't have brains , living in shit holes and being uneducated , jamia,iim,jnu,amu are one of the top colleges in India and u can not even set foot there , because of your.....",[]
57,"Divyanshu bro ye saurabh dalla hai.....I have personally seen many of his utube journalist using very hatred filled pics and comments on Instagram n fb.
Haan woh jnu waali baat Theek hai ki u can't defame 10-15k students for protest by 100-200 but phir bhi ye saurabh dalla hai",[]
58,"These are quacks who escape from their country and ordinary life, only in search for better exchange rate and high value life in garb of some socio-acadmic work. We have many such social warrior worms lying in JNU for years on taxpayers money.",[]
59,"And if u cant justify all men collage and all women collage then trust me no one can teach u anything.. and their r rich and communist trans jnu type who spend life in drugs and shit,,, and their r other who want to achoeve something the need hope most of them face bad situation",[]
60,"This leftie advises
Start a conversation with

Students ?JNU ?Rana Ayub
People's organization ? Kavita Krishnan
Opposition ?Rahul ?Thackery

And also
'innocent believes of RSS and BJP' ???THE NATION THAT VOTED NAMO? https://thewire.in/politics/modi-economy-caa …",[]
61,"Really jnu why am I not surprised ??
Sare naxali wahi hai paid by taxpayer",[]
62,This idiot forgot to mention that they are able to study in JNU / JAMIA type places from the money we pay as tax.,[]
63,Finally. What BJP MLA was looking for in JNU. https://twitter.com/gandogujrati/status/1209582227190951938 …,[]
64,"After Seeing lot of #Sanghis masters of their field.

 #Left #Liberals are hesitating to tweet

"" Left & Liberal here ""

Profession - 
1 Student - Enjoy decades  - JNU
2 Journalism - praising Gandhi family
3 NGO - for propaganda, hate Hinduism
4 Jobless - Protests","['Sanghis', 'Left', 'Liberals']"
65,"Dekhiye is namune ko isko follow kaun Kar raha hai Prashant Bhushan (A.K.Hangal) aur Yogendra Yadav urf  Saleem.
Same team of Commie-islamists-jesuit gang which is keen on breaking India and instigating the Muslim crowds to come on streets . 
Are you also from JNU",[]
66,Answer to What is the PhD thesis of the Kanhaiya Kumar of the JNU fame about? Did he write it himself? by Shree Nidhi https://www.quora.com/What-is-the-PhD-thesis-of-the-Kanhaiya-Kumar-of-the-JNU-fame-about-Did-he-write-it-himself/answer/Shree-Nidhi-1?ch=2&share=4064ddfa&srid=JTso …,[]
67,"This is what happens at JNU. Till 40 they enjoy on taxpayer money and when nothing is left,  shout anti India slogans to get attraction of political parties and make a political career. What do they study till 40? People get degrees by 28 and a good job too. Be it any profession.",[]
68,"#SupportCAA 

I am a true ""sanghi""
I topped my http://B.Tech  back in 1984, 
GATE score of 99.4%, 
http://M.Tech  (EE, Computer technology) IIT Delhi, topper.
My best choldhood friend in JNU (who taught Economics  to Pappu in DU) knowtowed to me.

1/2",['SupportCAA']
69,Bhai ... She is teacher in JNU ... what do u expect from her.,[]
70,"yes Miss jamil ... That's what JNU teaches ... don't say anything to people who chanted slogan...
 but if police give answer in the same language ... then they are criminal.
You are a teacher in JNU ... now we know why JNU is bastion of such anti national people.
Shame on you.",[]
71,"The girls protesting in crowd are my school classmate Dolan Samanta and senior Sneha Ganguly, both jnu wallahs now - the most vicious, violently communist, brainwashed duo i know. Zero empathy for these kinda people - i hope they are dealt with appropriately.",[]
72,This women empowerment make us salute. Not the one raising slogans in JNU  https://twitter.com/ANI/status/1210927754528473090 …,[]
73,Sir u r a Legend.We respect u nd we Love u.aur JNU ko to pura Hindustan Gali deta hai dont take them seriously.,[]
74,"Aur jo Nazi inspired Khakhi shorts pehenkar Pradarshan karte hain aur jo kuch din pehle hua? Kahein un sabko chale jao jahaan Hitler Bhai hain ab,ya Hitler ke Germany?! 
For all we know these are doctored.Just like videos of students from JNU were reportedly doctored in past. https://twitter.com/zoo_bear/status/1211015850498506752 …",[]
75,Not surprised at all as their chelas threaten all freedom and normal life in institutes like JNU/JU/JMU. This is thuggery and violence and Indians do not have to suffer this torture.. https://twitter.com/ARanganathan72/status/1211003657640013824 …,[]
76,"For your kind information, I already wrote in the thread that I went in Jamia Protest for Kashmir cause, read properly first,  Jamia, JNU did, but you don't want to see, not a single Kashmiri elite joined the protest, if you don't know, you should be silent.",[]
77,S2u sir,[]
78,"Jamia , JNU & AMU are pox on tax payers money they shd be closed, btw here Jamia students r doing taqiya.",[]
79,"Bastion of rogue freeloaders like #JNU , #AMU & #Jamia needs to be either demolished or reforms to extent, they at least understand meaning of #secularism","['JNU', 'AMU', 'Jamia', 'secularism']"
80," “24 Women Licking Service Delhi NCR 9876010894 JNU Escorts gigolo Club”

https://twitter.com/i/moments/1212157657903071232 …",[]
81,"JNU,AMU become terrorists manufacturing universitys they are not students",[]
82,"How was New year party in JNU? Ppl talk like this after overdose of some intoxicants. Now say 
#जयहिंद
#भारतमाता_की_जय
#IndiaSupportsCAA","['जयह', 'भ', 'IndiaSupportsCAA']"
83,India strong student protest continues at Freedom Square JNU University. https://youtu.be/77ZLE9rGwsw ,[]
84,Happy New year,[]
85,"Happy New Year to each and every one of you. Have a wonderful year! 

#Welcome2020",['Welcome2020']
86,"Good let them not register
Easy for government to close down JNU. High time we close this antinational den https://twitter.com/IndianExpress/status/1212110041236439040 …",[]
87,"309 VS 130 crores match going on since CAB singed by President.

Team 309 is facing good line & lenght of 130 crores bowlers.

Specially JNU & Jamiya Miliya.

Operner Modi & Shah are still on wicket.

Score.
Overs  Wicket  Runs  
  10           0          0",[]
88,FL Studio 20.6.0.1458 Crack with Reg Key Full Free Downloadhttps://rootcracked.com/fl-studio-20-6-full-crack-reg-key-download/ …,[]
89,"@Shehla_Rashid I don’t think so if ur a muslim dey wont hire u,real fact is ur education important,ohh I forgot ur JNU pass out den literally ur education is least competitive in this innovative world pls do some other practical course",[]
90,How can you become so dumb! Might be from JNU,[]
91,"In his lawsuit, former JNU student alleged that the book published by Patna-based Asian Development Research Institute (ADRI), through its Member Secretary Shaibal Gupta, and endorsed by Kumar, is a plagiarised version of his research work.

http://bit.ly/36owY4l ",[]
92,"The University of Hyderabad cancels JNU Professor Ajay Gudavarthy's Lecture ""Is India Intolerant?"" - Prof Gudavarthy doesn't need to explain whether India is intolerant or not anymore, the University of Hyderabad has already answered it!
#RoadToEndia2020pic.twitter.com/cBptTpGfJi",['RoadToEndia2020pic']
93,"Hey, thanks for sharing this thread from @avatans. Read the whole version here: https://threader.app/thread/1212081884198506496 … #2019inReview #NPR #HowdyModi #JNU","['2019inReview', 'NPR', 'HowdyModi', 'JNU']"
94,"So you mean to say no need to recover, let anyone damage public property without any fear with political help.. Jnu should have in u.p  it would have become national by now",[]
95,What did you want? Secularism to oblige your fundamentalism. In cohorts with Kashmiri millitants you wanted Govt. of India to oblige you. Girl do not try to grow beyond your boots. Try to study & pass out from JNU. You living in JNU on my money which I pay in tax.. please behave.,[]
96,"Says Shehla Rashid . The one who spent all her life as a free loader at JNU , living on tax payer funded welfare,80 percent of which were paid by Hindus https://twitter.com/Shehla_Rashid/status/1213032478572601344 …",[]
97,But u still avail subsidies in JNU. Why should it be continued. Instead why that money not be used for poverty alleviation,[]
98,"Students wearing masks entered centre, turned off servers: JNU http://toi.in/AR5oWb ",[]
99,#India JNU Admin Says Students Agitating over Hostel Fee Hike Hampered Semester Exam Registration Process http://twib.in/l/RERL655n9yyn  #News #Bharat,"['India', 'News', 'Bharat']"
100,"This is not an educational institute,  it's a militants training center. JNU should be shut down",[]
101,"The JNU administration on Friday alleged that some students wearing masks forcibly switched off the power supply to make the ""servers dysfunctional"" and hamper the semester exam registration process.

https://www.thequint.com/news/education/jnu-adminstration-alleges-some-students-disrupted-semester-registration-process-cut-off-power …",[]
102,Really don't understand the Jingoism... Boy with national flag is not even safe. Who killed him? Isn't that the persecution of a particular community in India? Literally it's enough... Just ,[]
103,"At least apologise to your parents 
Thank youhttps://twitter.com/SenSanders/status/1213063708043366400 …",[]
104,@Shehla_Rashid useless shouldn't be thrown out of jnu,[]
105,3 rd treatment a must for ppl like them at #JNU. Next time they should think a thousand time to act against system,['JNU']
106,"Javed uncle zyada tension na lain everything is under control of our LEAs. It was not a state sponsored pogrom of minorities like Golden Temple by Indian Military. Or what's going on in   Kashmir for the last 150 plus days, what yogi Jee is doing in UP or state did with JNU AMU",[]
107,"PhD in African studies , do Koudi ka aadami, he can never get a job anywhere . He is Rahul Gandhi of JNU",[]
108,"Yes I agree but for that we have to kick all this Congress historians from JNU, Guha, Nandy and all khan market gang https://twitter.com/nair_hena/status/1213204178215952385 …",[]
109,"Hint : Nehruvian Socialism 
The drug that has for decades produced JNU styled imbeciles ",[]
110,then why only  JNU ? why not whole Indian school  college?,[]
111,Now where Jnu protester I can't see them you shameless people,[]
112,"Shut the damn thing down @PMOIndia @HMOIndia @HRDMinistry Enough is Enough ! I don’t want my tax money to be wasted on these scoundrels at JNU , Jamia n AMU .. shut these useless hubs down which produces mostly shitty products",[]
113,"@IAF_MCC @DefenceMinIndia
Next time you bomb #FailedState Pakistan, can you drop a bomb or 2 on JNU and AMU please?
We will pay for those bombs",['FailedState']
114,Now JNU has got a chance to get rid of the educated terrorist and keep its prestige high for getting a place in QS ranking,[]
115,"All this people are designated as scholars or intelligencia or historians are given this status by Commie-islamist-Jesuit break India gangs.
From hese same Commie-islamists-jesuit  gang also nominated Umer Khalid as JNU Scholar.
These are all crooks",[]
116,We will. But ask Ur uncle @ArvindKejriwal & Co. not to go to #JNU to stand in support of  ‘Bharat tere tukde honge’. Ask your leaders not to go crying to SC in the middle of night to save a terror convict like AfzalGuru. Stop sympathising terrorists just bcoz they’re muslims.,['JNU']
117,"This one is epic#narender modi,##narendermodi #MumbaiAgainstCAA #AajNews #Aajtak #ABVP #Hindus #SoniaGandhi #Congress #BJP #congreekevichaar #AAM #PoliticsLive #YogiAdityanath #JamiaMilliaUniversity #JNU #educationpic.twitter.com/9Ms3fC0qeW","['narender', 'narendermodi', 'MumbaiAgainstCAA', 'AajNews', 'Aajtak', 'ABVP', 'Hindus', 'SoniaGandhi', 'Congress', 'BJP', 'congreekevichaar', 'AAM', 'PoliticsLive', 'YogiAdityanath', 'JamiaMilliaUniversity', 'JNU', 'educationpic']"
118, lmao... this is unbelievable.... it’s good though... I was waiting for the news of @DelhiPolice entering JNU and the leftist crying over it,[]
119,"And same Sitaram Yechury had supported JNU students when they called Afzal Guru wasn't a terrori$t who attacked our Parliament & celebrated his death anniversary in JNU & very recently, they insulted even Vivekananda ji in the campus & of course Indian Army as well..
Shame.",[]
120,"There is no NRC ACT. NRC IS PART OF CITIZENS ACT. IN ASSAM IT WAS SC THAT ORDERED NRC TO BE IMPLEMENTED. HAVE TO QUESTION, THE STANDARDS OF EDUCATION IN INDIAN UNIVERSITIES LIKE JAMIA, JNU WHERE MAYHEM IS BEING CAUSED.",[]
121,"Not Surprising that it is most of them, bcoz RW excels at productivity in STEM whilst Left and their ilk warms money devouring chairs of pseudo science called Humanities(7 yr Phd at Jamia, JNU, AMU comes to mind) and go on to become Academicians and Intellectual Opinion Maker.  https://twitter.com/anarparikh/status/1207789378845761537 …",[]
122,This is a very old video from JNU protest. Stop spreading false videos.,[]
